participant	item	semantic_congruency	register_congruency	rating
33	33	no	match	3
33	34	no	match	4
33	35	no	match	2
33	37	yes	mismatch	4
33	36	yes	mismatch	5
33	32	no	match	2
33	31	no	match	3
33	38	yes	mismatch	4
33	39	yes	mismatch	4
33	40	yes	mismatch	3
34	2	yes	match	7
34	3	yes	match	7
34	4	yes	match	7
34	9	no	mismatch	4
34	10	no	mismatch	2
34	8	no	mismatch	1
34	1	yes	match	7
34	5	yes	match	7
34	6	no	mismatch	1
34	7	no	mismatch	3
34	19	no	mismatch	1
34	11	yes	match	6
34	12	yes	match	2
34	17	no	mismatch	5
34	18	no	mismatch	1
34	13	yes	match	7
34	14	yes	match	4
34	15	yes	match	5
34	16	no	mismatch	1
34	20	no	mismatch	2
34	21	no	match	2
34	25	no	match	1
34	26	yes	mismatch	7
34	27	yes	mismatch	3
34	28	yes	mismatch	6
34	22	no	match	2
34	29	yes	mismatch	5
34	23	no	match	2
34	24	no	match	2
34	30	yes	mismatch	5
34	33	no	match	1
34	34	no	match	1
34	35	no	match	3
34	37	yes	mismatch	7
34	36	yes	mismatch	7
34	32	no	match	1
34	31	no	match	1
34	38	yes	mismatch	5
34	39	yes	mismatch	7
34	40	yes	mismatch	7
